id,cr_no,target_sentence,response,training,tooshort_AD,irrelevant_AD,copypaste_AD,eval_AD,overall_AD,notes_AD,overall_AD_2,tooshort_JM,irrelevant_JM,copypaste_JM,eval_JM,overall_JM,notes_JM,overall_JM_2,interrater_difference,agree,interrater_difference_2
SERP_F19C_B2_99,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less",Does our eyes adjust the lens automatically when we are focusing on something or looking at something from a distance or is the lens in our eyes the perfect thickness to see.,1,0,0,0,0,0,doesn't make sense,0,0,0,0,0,2,NA,2,2,0,2
SERP_F19C_B2_99,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,"Wow, I didn't know there were that many receptor cells that respond to light",1,0,0,1,1,0,NA,0,0,0,0,0,1,NA,1,1,0,1
SERP_F19C_B2_99,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",do the rod cells have something to do with why we can see shapes at night? or does it have to do with memory and the fact that we saw it in the light.,1,0,0,0,0,1,memory? The text tells you that it is the rod cells,1,0,0,0,0,3,how we see objects at night = meaningful elaboration,3,2,0,2
SERP_F19C_B2_99,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived",I did not know that the optic nerve was involved with our perception of edges and colors and objects,1,0,0,0,0,1,metacognitive?,1,0,0,0,0,1,gave 1 overall for monitoring,1,0,1,0
SERP_F19C_B1_100,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.","It's very interesting that when you look st something, your brain is processing the information to allow you to see. I think the brain is an extraordinary organ and it's quite intriguing to think about how it interprets everyday stimuli.",1,0,0,0,1,1,PAR or too much EV?,1,0,0,0,1,2,was stuck between 1 and 2 overall but landed on 2 since it's just the first cr,1,1,0,0
SERP_F19C_B1_100,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.","Considering I've worn glasses for quite some time, I think about the intricacies of my eyes and reading this text allows me to take a closer assessment of my eyes. In addition, I think about the diagrams I've seen in textbooks and Power Points that I remind me of the structures of my eyes. This text helps me to visualize the unique way in which my eyes are setup.",1,0,0,0,0,0,too off topic for me,0,0,0,0,0,1,the reponse is long but doesn稚 give me any assurance that deep learning has occurred.,1,1,0,1
SERP_F19C_B1_100,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,"Honestly, I had no idea the size of the pupil was adjusted by muscles in the iris. I love that something so small has it's own importance and assists in the overall function of the eye.",1,0,0,1,1,1,a little PAR?,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_B1_100,viz_cr_4,"In dim light, the pupil becomes larger","This reminds me of when I used to read, in the dark, and my eyes would feel as if they were widening because I had to readjust them to see a bit better. Honestly, this wasn't the best idea and I'm glad my prescription for my glasses hasn't changed because of this. It seems as though when the pupil becomes larger, when light is dim, it's like I was creating more work for my eyes.",1,0,0,0,0,2,Associative but sort of related?,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_B1_100,viz_cr_5,This bends the light rays producing an image that is in focus,"Thinking on a Power Point I saw, just recently, I'm reminded that the lens of the eye does indeed bend light rays to produce an image that is in focus. This is why I love to close my eyes and open them, various times, to see things I might have missed at first glance. In addition, I think about old eye glasses I used to have and how they affected the way in which I saw the world. I would miss steps, or believe that something was closer to me than it actually was. While the bending of light rays can be beneficial, I've dealt with how it can sometimes be distorted.",1,0,0,0,1,1,same as above,1,0,0,0,0,1,closing eyes and opening eyes = meaningful elaboration,1,0,1,NA
SERP_F19C_B1_100,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less","This is very much a fact! I have astigmatism in one eye and in order for me to see details far away, I couldn't purchase thick lenses because it would only impede my sight. This is another reason why having working eye sight is critical. Seeing things far away is essential in driving, navigating the world, etc.",1,0,0,0,1,1,too off target and not really accurate,1,0,0,0,0,2,NA,2,1,0,NA
SERP_F19C_B1_100,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,Wow! I really had no idea the retina contained that many cells to aid in our eye's response to light.,1,0,0,1,1,1,not sure,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_B1_100,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray","I'm taken right back to a Power Point I saw in my Bio-Psychology course, where we did a chapter on the eye and I realized I'm familiar with the rod cells and much of their inner workings. Although, the slides failed to mention these particular cells allow you to see shades of grey, black and white. I'm glad this text helped me to learn something new!
",1,0,0,0,0,1,again sort of PAR sort of AS,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_B1_100,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived","Rods and cones seem to have heavy jobs to do in order to keep the eye stabilized, especially when it is looking at something.",1,0,0,0,1,1,NA,1,0,0,0,1,2,NA,2,1,0,1
SERP_F19C_C1_102,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",This text explains how our eyes operate. It explains what occurs inside our eyes to allow us to see the things that we do and how we're able to identify them.,1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C1_102,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",The bold text allows us to form an image of what the parts of our eye look like by providing a description of each. It explains where each part of the eye is called and where it is located.,1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C1_102,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,This allows me to understand why the size of my pupil becomes larger and smaller depending on the amount of light that hits my eye. It tells me what causes the size to be adjusted.,1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,2,0,1,1
SERP_F19C_C1_102,viz_cr_4,"In dim light, the pupil becomes larger","The reason why the pupil becomes larger in dim light is because it needs to allow more light to enter so that it can become easier for us to see, which makes sense because we usually tend to have a harder time seeing our surroundings when there isn't much light.",1,0,0,0,0,2,outside knowledge,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_C1_102,viz_cr_5,This bends the light rays producing an image that is in focus,"Once our eyes adjust to the light, the rays give us an image and allow us to determine what that image is.",1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C1_102,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less",The differences in lenses when providing us with images allows me to understand why people who are near sighted and people who are far sighted require a certain form of lenses. The lenses on their glasses or contact lenses are created to adjust the light intake required for their eyes.,1,0,0,0,0,2,NA,2,0,0,0,0,2,NA,3,0,1,1
SERP_F19C_C1_102,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,"The receptor cells in the retina play an important role when it comes to the eye and light. Without these receptor cells, light wouldn't help to form the images.",1,0,0,0,0,2,NA,2,0,0,0,1,2,"this person gave more than ""wow that's a lot of receptors"" so I gave them a 2 overall",2,0,1,0
SERP_F19C_C1_102,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray","It makes sense for rod cells to work best in dim light. In dim light, it can be hard to see dull colors, such as black, white, and gray rather than colors that are easy to recognize, such as yellow, red, and orange. Black, white, and gray can sometimes blend in with dim lighting.",1,0,0,0,0,2,previous lines,2,0,0,0,0,2,decent paraphrase and elaboration,2,0,1,0
SERP_F19C_C1_102,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived",Rods and cones help distinguish between bright and dull colors when lights hits the eye.,1,0,0,0,0,1,summary,1,0,0,0,0,1,NA,2,0,1,1
SERP_F19C_B1_103,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",I didn't know that our eyes responded to the stimulus. I thought out eyes just absorbed the light and then reflected that image into our brain. I wonder if our brain could be wrong sometimes and is the reason why we see illusions.,1,0,0,0,0,2,maybe 2? Just a lot of talking�,2,0,0,0,0,3,NA,3,1,0,1
SERP_F19C_B1_103,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.","I knew that the cornea was present, but I didn't know that it was its own layer. I didn't really know that blinking removed debris. I thought it was meant to prevent your eyes from watering up.",1,0,0,0,0,2,brings up previous lines,2,0,0,0,0,3,NA,3,1,0,1
SERP_F19C_B1_103,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,"So, the pupil is basically controlled by the iris. If there's too much light, then the pupil shrinks, and if there's not that much, then it gets bigger. The iris is mainly the color figment within the eyes.",1,0,0,0,0,2,brings up previous lines,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_B1_103,viz_cr_4,"In dim light, the pupil becomes larger","I was aware that in dim light, the pupil grew because I would notice differences when I observed myself. In bright light the pupil gets smaller because it prevents too much light from coming in and possibly causing damage.",1,0,0,0,0,2,NA,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_B1_103,viz_cr_5,This bends the light rays producing an image that is in focus,"I wonder if the lens is what causes people to have bad vision and good vision. Maybe the shape of lens determines if someone is near sighted or far sighted. If we can''t see anything clearly, do we blink a couple times to give the image a chance to refocus?",1,0,0,0,0,2,NA,2,0,0,0,0,3,NA,3,1,0,1
SERP_F19C_B1_103,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less","This most likely explains why some people are far sighted. Do these types of lens form on their own, or do we somehow cause the shape of them?",1,0,0,0,0,2,Suggests deep thinking about the text,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_B1_103,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,I think that it's interesting to know that the retina contains that many receptor cells and it's pretty crazy at how many cells it takes to respond to the light.,1,0,0,0,1,1,a lot of evaluation,1,0,0,0,0,2,NA,1,1,0,0
SERP_F19C_B1_103,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",I didn't know that we had rod cells. I thought that the same process happened when it came to us seeing colors.,1,0,0,0,0,1,NA,1,0,0,0,0,2,NA,2,1,0,1
SERP_F19C_B1_103,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived","Throughout this whole process, it seems like a long time for it to happen. Everything happens quickly, but the process for us to see images is long.",1,0,0,0,0,2,global context,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_C2_105,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",Our eyes take in light and interpret that into an image we see.,1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C2_105,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",Our eyes have many layers that work in conjunction that allow us to see the outside world.,1,0,0,0,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C2_105,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,Our pupils are the opening that allows light to enter the other layers of our eyes and the size changes as it relates to the muscles in our iris.,1,0,0,1,0,2,brings up previous lines,2,0,0,0,0,1,NA,2,1,0,0
SERP_F19C_C2_105,viz_cr_4,"In dim light, the pupil becomes larger","When it gets darker, our pupils become larger to allow more light to come into our eyes so a clearer image can be depicted.",1,0,0,0,0,2,adds the clearer picture?,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_C2_105,viz_cr_5,This bends the light rays producing an image that is in focus,The lens of our eyes bends the light rays coming in through our pupils to allow this image to get in focus.,1,0,0,1,0,1,NA,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C2_105,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less","In order to see things that are far away, the lens of our eyes need to be thin. When it is thin, it bends light less.",1,0,0,1,0,1,NA,1,0,0,1,0,2,NA,1,1,0,0
SERP_F19C_C2_105,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,The retina is a layer of cells at the back of the eye. This layer contains millions of cells that respond to light.,1,0,0,1,0,1,NA,1,0,0,1,0,1,NA,1,0,1,0
SERP_F19C_C2_105,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray","There are two types of receptor cells in the retina. They are cones and rods. Rod cells enable us to see black, white, and shades of gray.",1,0,0,1,0,1,NA,1,0,0,0,0,2,I gave 2 overall because of distal bridging,2,1,0,1
SERP_F19C_C2_105,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived","When light hits our retinas, rods and cones work together and perceive colors and objects.",1,0,0,1,0,1,NA,1,0,0,1,0,1,NA,1,0,1,0
SERP_F19C_B1_106,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",I think it's interesting that the brain can change a stimulus into an impulse quickly.,1,0,0,0,0,0,NA,0,0,0,0,0,1,NA,1,1,0,1
SERP_F19C_B1_106,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",I didn't really think of the eye in layers.,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA
SERP_F19C_B1_106,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,I knew about this one.,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,NA
SERP_F19C_B1_106,viz_cr_4,"In dim light, the pupil becomes larger",To see better. It's cool that the human body can adjust and adapt to different settings,1,0,0,0,1,0,NA,0,0,0,0,0,1,NA,1,1,0,1
SERP_F19C_B1_106,viz_cr_5,This bends the light rays producing an image that is in focus,"I wanna know more about what it means to ""bend light"".",1,0,0,1,0,0,NA,0,0,0,0,0,2,torn between 1 and 2 overall,1,2,0,1
SERP_F19C_B1_106,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less",So the lenses change in size like the pupil too?,1,0,0,0,0,0,NA,0,0,0,0,0,2,torn between 1 and 2 overall,2,2,0,2
SERP_F19C_B1_106,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,"Yeah, cones and something else. That's still a lot.",1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,1,NA,NA,NA
SERP_F19C_B1_106,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",So they basically switch places when they are needed? Cool.,1,0,0,1,1,0,NA,0,0,0,0,0,1,torn between 1 and 2 overall,2,1,0,2
SERP_F19C_B1_106,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived",I learned this is psych! i think our brain is still interesting.,1,0,0,0,1,0,NA,0,0,0,0,0,0,NA,0,0,1,0
SERP_F19C_B2_107,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.","Wow. I'm pretty sure I was aware of this. However, it's been a while since I've learned about the parts of the body.",1,0,0,0,1,0,NA,0,0,0,0,0,1,"When participants use pronouns (e.g. ""aware of this""), this feels less impressive and like its less helpful for deep learning",0,1,0,0
SERP_F19C_B2_107,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",These things are being brought back to memory.,1,0,1,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,1,0
SERP_F19C_B2_107,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,I do remember being thought about eye muscles.,1,0,1,NA,NA,1,typos?,1,0,0,0,0,0,NA,0,1,0,1
SERP_F19C_B2_107,viz_cr_4,"In dim light, the pupil becomes larger",This makes sense. When I'm home I don't try to use too many light because then it would be way too bright to see. In a room that's not being used the the light should be off.,1,0,0,0,0,0,NA,0,0,0,0,0,1,NA,1,1,0,1
SERP_F19C_B2_107,viz_cr_5,This bends the light rays producing an image that is in focus,Interesting. It's funny how you mention this because I was literally doing a astronomy lab earlier that involved using the lens from a telescope and discovering light rays.,1,0,0,0,1,0,NA,0,0,0,0,0,2,NA,2,2,0,2
SERP_F19C_B2_107,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less",I can understand that. It harder to see what's far compared to up close.,1,0,0,0,0,0,NA,0,0,0,0,0,1,NA,1,1,0,1
SERP_F19C_B2_107,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,Wow!. That's incredible. I had no idea about this.,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,0,NA,NA,NA
SERP_F19C_B2_107,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",I'm honestly not sure what rod cells are.,1,0,0,1,1,0,NA,0,0,0,0,0,1,NA,0,1,0,0
SERP_F19C_B2_107,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived",Very interesting.,1,1,NA,NA,NA,NA,NA,NA,1,9,9,9,9,NA,0,NA,NA,NA
SERP_F19C_C1_109,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",This bold sentence means that the eyes convert stimulus from the light so that the brain can understand letting us to be able to see/,1,0,0,1,0,1,NA,1,0,0,2,0,0,I think this is my first 2 pts for  copy-paste,1,1,0,0
SERP_F19C_C1_109,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",The bolded sentence means that the cornea in front of the eyes covers the first layer of the eye containing pupil and iris.,1,0,0,1,0,1,NA,1,0,0,2,0,0,NA,1,1,0,0
SERP_F19C_C1_109,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,The iris's muscles can control the pupil's size.,1,0,0,1,0,1,NA,1,0,0,2,0,0,NA,1,1,0,0
SERP_F19C_C1_109,viz_cr_4,"In dim light, the pupil becomes larger",The eye's pupil will become bigger in the dark.,1,0,0,1,0,1,NA,1,0,0,1,0,1,NA,1,0,1,0
SERP_F19C_C1_109,viz_cr_5,This bends the light rays producing an image that is in focus,The eye's lens have muscles that can adjust the light into a targeted image.,1,0,0,0,0,1,adds in muscles?,1,0,0,1,0,1,copy-paste/paraphrase blend,1,0,1,0
